epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.066,1.9341,2.80057,1.84162,0.3912,0.37739,0.32916,0.14373,1.79035,1.96972,1.66343,0.00332769,0.00332769,0.00332769
2,251.761,1.85269,2.18465,1.69949,0.33756,0.3379,0.27932,0.12345,1.91834,2.29876,1.82618,0.00659508,0.00659508,0.00659508
3,375.431,1.96273,2.35682,1.80254,0.23243,0.24856,0.16003,0.07045,2.08512,2.55316,1.94326,0.00979647,0.00979647,0.00979647
4,498.53,2.00039,2.44736,1.86016,0.33603,0.29115,0.25103,0.10778,1.98674,2.51591,1.88977,0.009703,0.009703,0.009703
5,621.95,1.9422,2.32159,1.81235,0.34603,0.38406,0.31674,0.13453,1.88443,2.08823,1.79697,0.009604,0.009604,0.009604
6,745.605,1.89075,2.2454,1.77841,0.35792,0.42101,0.33311,0.14888,1.8173,1.99346,1.7349,0.009505,0.009505,0.009505
7,869.133,1.85767,2.1757,1.74979,0.44601,0.38638,0.36746,0.16523,1.83102,1.91305,1.74462,0.009406,0.009406,0.009406
8,991.607,1.83233,2.10924,1.72549,0.42999,0.46243,0.41005,0.18968,1.75438,1.81857,1.67543,0.009307,0.009307,0.009307
9,1114.04,1.81929,2.08466,1.7177,0.48143,0.42435,0.42106,0.19898,1.77465,1.77326,1.71778,0.009208,0.009208,0.009208
10,1236.43,1.78877,2.01395,1.69318,0.46011,0.45822,0.45288,0.2154,1.71633,1.72423,1.65703,0.009109,0.009109,0.009109
11,1358.84,1.76509,1.97522,1.67583,0.51153,0.44159,0.44925,0.2079,1.75516,1.74737,1.69658,0.00901,0.00901,0.00901
12,1481.16,1.75484,1.97265,1.67199,0.48671,0.47083,0.44598,0.20936,1.71144,1.6971,1.66362,0.008911,0.008911,0.008911
13,1603.52,1.74925,1.9322,1.66143,0.48778,0.50336,0.48911,0.2298,1.70756,1.62442,1.64622,0.008812,0.008812,0.008812
14,1725.79,1.73362,1.91149,1.64897,0.47749,0.47982,0.45541,0.2144,1.7043,1.68148,1.64959,0.008713,0.008713,0.008713
15,1848.08,1.72192,1.88692,1.6553,0.50575,0.46391,0.47273,0.22907,1.69369,1.59888,1.65094,0.008614,0.008614,0.008614
16,1971.23,1.70358,1.85822,1.63787,0.528,0.49288,0.49468,0.2403,1.66998,1.58508,1.61686,0.008515,0.008515,0.008515
17,2093.51,1.68784,1.8291,1.6255,0.52733,0.51732,0.51158,0.25134,1.65432,1.54571,1.61199,0.008416,0.008416,0.008416
18,2215.81,1.68001,1.81481,1.61741,0.5243,0.49354,0.49514,0.24186,1.65669,1.5511,1.61728,0.008317,0.008317,0.008317
19,2338.14,1.66956,1.79384,1.60599,0.50869,0.52089,0.50747,0.24818,1.66172,1.53035,1.603,0.008218,0.008218,0.008218
20,2460.43,1.67402,1.79146,1.60777,0.52622,0.50693,0.50986,0.25199,1.65547,1.51403,1.59166,0.008119,0.008119,0.008119
21,2582.75,1.66439,1.76633,1.60175,0.53656,0.53498,0.53309,0.25726,1.64896,1.49895,1.61059,0.00802,0.00802,0.00802
22,2705.13,1.65766,1.75531,1.58836,0.56573,0.51029,0.52893,0.25548,1.63836,1.52141,1.58537,0.007921,0.007921,0.007921
23,2827.37,1.64262,1.73823,1.58669,0.53697,0.5152,0.51979,0.25681,1.64904,1.49562,1.60572,0.007822,0.007822,0.007822
24,2949.62,1.63749,1.7266,1.58619,0.53587,0.53093,0.5331,0.26277,1.63764,1.46101,1.59487,0.007723,0.007723,0.007723
25,3071.84,1.63421,1.7099,1.58626,0.56936,0.5218,0.53998,0.26491,1.64438,1.46649,1.60669,0.007624,0.007624,0.007624
26,3194.22,1.63522,1.70145,1.58006,0.53679,0.55456,0.54259,0.26816,1.62464,1.44982,1.57898,0.007525,0.007525,0.007525
27,3316.51,1.63276,1.70109,1.57668,0.55142,0.54372,0.53661,0.26133,1.62824,1.4555,1.57895,0.007426,0.007426,0.007426
28,3438.69,1.6147,1.69305,1.56166,0.56708,0.52715,0.54595,0.27622,1.61969,1.43971,1.56551,0.007327,0.007327,0.007327
29,3560.96,1.6136,1.67181,1.55709,0.58292,0.54577,0.55607,0.27393,1.62642,1.44012,1.56834,0.007228,0.007228,0.007228
30,3683.12,1.60837,1.64846,1.55067,0.5589,0.55909,0.54728,0.27138,1.63802,1.41008,1.57289,0.007129,0.007129,0.007129
31,3805.31,1.60225,1.64024,1.55487,0.59791,0.54521,0.56255,0.28229,1.61472,1.38808,1.56282,0.00703,0.00703,0.00703
32,3927.52,1.59685,1.62523,1.54515,0.56856,0.55606,0.57286,0.28277,1.61441,1.40135,1.56846,0.006931,0.006931,0.006931
33,4049.8,1.591,1.6163,1.53979,0.56319,0.55237,0.55346,0.27942,1.63052,1.38942,1.57343,0.006832,0.006832,0.006832
34,4172.06,1.58066,1.60118,1.53345,0.58178,0.56026,0.57397,0.28688,1.613,1.37915,1.57074,0.006733,0.006733,0.006733
35,4294.37,1.57404,1.6006,1.53286,0.60884,0.54262,0.57533,0.28703,1.60783,1.38271,1.56988,0.006634,0.006634,0.006634
36,4416.71,1.57554,1.59578,1.52938,0.58174,0.57515,0.58195,0.29408,1.60559,1.35623,1.55948,0.006535,0.006535,0.006535
37,4539.01,1.57064,1.58576,1.5313,0.58813,0.56195,0.58284,0.2941,1.60085,1.35549,1.56545,0.006436,0.006436,0.006436
38,4661.33,1.56955,1.5917,1.53206,0.58898,0.57615,0.58068,0.2909,1.59805,1.34999,1.55615,0.006337,0.006337,0.006337
39,4783.62,1.56238,1.5633,1.52169,0.5924,0.55401,0.57884,0.29212,1.60619,1.34978,1.55779,0.006238,0.006238,0.006238
40,4905.84,1.5631,1.56603,1.51975,0.59796,0.55909,0.59088,0.29617,1.59909,1.32161,1.55005,0.006139,0.006139,0.006139
41,5028.18,1.55626,1.549,1.51319,0.60355,0.55007,0.5845,0.29932,1.5914,1.33394,1.5426,0.00604,0.00604,0.00604
42,5150.44,1.54859,1.53688,1.50973,0.5987,0.56174,0.59097,0.29991,1.5975,1.32561,1.55044,0.005941,0.005941,0.005941
43,5272.82,1.54777,1.54435,1.51154,0.58461,0.56012,0.58257,0.29518,1.58086,1.31301,1.53047,0.005842,0.005842,0.005842
