epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8735,2.37909,2.80291,2.17185,0.00232,0.09951,0.00144,0.00039,nan,nan,nan,0.000660714,0.000660714,0.000660714
2,50.1967,2.40469,2.76856,2.22754,0.00707,0.01214,0.00118,0.00052,nan,nan,nan,0.00131424,0.00131424,0.00131424
3,75.5086,2.33088,2.73661,2.18146,0.04442,0.17476,0.02836,0.00888,2.67228,9.43633,2.82634,0.00195457,0.00195457,0.00195457
4,99.5125,2.22945,2.67855,2.10876,0.06991,0.11165,0.02126,0.00552,3.14484,8.34452,3.22851,0.0019406,0.0019406,0.0019406
5,123.415,2.1301,2.54763,2.00696,0.19455,0.28155,0.10137,0.03174,2.34561,3.70917,2.33526,0.0019208,0.0019208,0.0019208
6,147.376,2.06301,2.48789,1.97657,0.1093,0.29612,0.09575,0.02933,2.22335,4.78246,2.18103,0.001901,0.001901,0.001901
7,171.579,2.022,2.44044,1.92882,0.24569,0.3665,0.20608,0.07416,2.04193,2.86801,1.97682,0.0018812,0.0018812,0.0018812
8,195.385,1.97645,2.35193,1.89847,0.17588,0.17476,0.10994,0.03971,2.16431,3.97157,2.17194,0.0018614,0.0018614,0.0018614
9,219.249,1.9196,2.29468,1.84517,0.35058,0.41262,0.30627,0.1117,1.99971,2.28131,1.95435,0.0018416,0.0018416,0.0018416
10,242.987,1.86681,2.21597,1.79809,0.34968,0.39078,0.27384,0.11007,1.91213,2.31278,1.8681,0.0018218,0.0018218,0.0018218
11,266.757,1.83165,2.16418,1.75739,0.28783,0.38107,0.25861,0.10354,1.93973,2.45779,1.87281,0.001802,0.001802,0.001802
12,290.397,1.80543,2.12353,1.74859,0.34413,0.43689,0.29944,0.1274,1.86056,2.25746,1.84178,0.0017822,0.0017822,0.0017822
13,314.079,1.79942,2.10074,1.74221,0.31936,0.36408,0.27986,0.11348,2.04906,2.27924,1.96184,0.0017624,0.0017624,0.0017624
14,337.706,1.77753,2.06002,1.73415,0.46442,0.48301,0.42115,0.18936,1.73299,2.17539,1.70385,0.0017426,0.0017426,0.0017426
15,361.416,1.77331,2.06991,1.71015,0.33807,0.49757,0.28967,0.11577,1.82487,2.27007,1.79438,0.0017228,0.0017228,0.0017228
16,385.061,1.73776,2.03659,1.69197,0.48668,0.5477,0.47389,0.21268,1.70344,1.91049,1.6834,0.001703,0.001703,0.001703
17,408.788,1.70936,1.95059,1.67737,0.46491,0.54612,0.46007,0.2137,1.70972,1.89805,1.67382,0.0016832,0.0016832,0.0016832
18,432.446,1.70753,1.94562,1.66286,0.48128,0.5534,0.5162,0.25217,1.7047,1.79648,1.68894,0.0016634,0.0016634,0.0016634
19,456.17,1.69134,1.95239,1.65914,0.45901,0.50661,0.44172,0.19461,1.76947,1.90857,1.71889,0.0016436,0.0016436,0.0016436
20,479.828,1.68082,1.92425,1.65247,0.4221,0.48786,0.43464,0.2098,1.71562,1.88084,1.69056,0.0016238,0.0016238,0.0016238
21,503.452,1.66358,1.89417,1.63536,0.49449,0.54126,0.4728,0.24935,1.63709,1.83937,1.63587,0.001604,0.001604,0.001604
22,527.048,1.66748,1.86859,1.63032,0.49424,0.56796,0.52252,0.26064,1.64206,1.80563,1.63666,0.0015842,0.0015842,0.0015842
23,550.774,1.64553,1.8455,1.61364,0.48214,0.51942,0.48914,0.25591,1.66662,1.75707,1.65426,0.0015644,0.0015644,0.0015644
24,574.337,1.63929,1.81412,1.61213,0.51872,0.54369,0.51922,0.25267,1.62067,1.7073,1.61716,0.0015446,0.0015446,0.0015446
25,597.983,1.60899,1.79149,1.5927,0.61408,0.57039,0.56115,0.28558,1.56872,1.67034,1.60544,0.0015248,0.0015248,0.0015248
26,621.683,1.61039,1.78048,1.58352,0.55828,0.59951,0.53557,0.28872,1.56615,1.74997,1.58894,0.001505,0.001505,0.001505
27,645.345,1.61755,1.77697,1.58069,0.55086,0.50728,0.51634,0.26162,1.61857,1.73637,1.61583,0.0014852,0.0014852,0.0014852
28,668.966,1.57505,1.72828,1.5646,0.60618,0.60897,0.59782,0.29936,1.61114,1.60457,1.56163,0.0014654,0.0014654,0.0014654
29,692.652,1.57698,1.71301,1.56382,0.56357,0.58981,0.54946,0.28673,1.621,1.62506,1.58455,0.0014456,0.0014456,0.0014456
30,716.263,1.57585,1.69861,1.54927,0.59398,0.59466,0.58013,0.32037,1.54959,1.56419,1.55996,0.0014258,0.0014258,0.0014258
